"""Die Karte zeigt den Weg zur Bibliothek.[sound:oddcast-bd5e29a7-98d51298-04ae86ba-f588eb08-3093b633.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""O mapa mostra o caminho até a biblioteca.&nbsp;[sound:oddcast-da140ab8-fbb4cabd-0ae7c576-fe87e5aa-ec866503.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Wie gehen wir in die Bibliothek?[sound:oddcast-d2f2e9c8-7569b02a-70fd29d4-62d1e7a2-748d5c78.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""Como fazemos para ir até a biblioteca?[sound:oddcast-5d4a9f61-94d6bd4e-b9843b1a-863406b1-8b65c11a.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Wir sehen einen singenden Fluss mit Noten auf dem Wasser.[sound:oddcast-e9f9b96f-bb4934ff-94a95f66-9e48fb52-f5655749.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""Vemos um rio cantante com notas musicais sobre a água.[sound:oddcast-217d89a5-b92aaeab-c7ab5293-7080ab09-a12af295.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Wir müssen den singenden Fluss überqueren.[sound:oddcast-7ba40165-5cb9d45f-35e8cecd-e773f191-0c564921.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""Nós devemos cruzar o rio cantante.[sound:oddcast-55264863-026790e0-b3bbedda-19c6ac99-6509e5e5.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Dann müssen wir über die Brücke gehen.[sound:oddcast-e56818c4-1b463594-5cc19078-09bb6954-9b34fd76.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""Então devemos passar sobre a ponte.[sound:oddcast-c2d69518-cd88335a-6ffb6950-5622f632-b491a699.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Dann müssen wir zur Bibliothek gehen.[sound:oddcast-0fae2e01-5e9bd0a3-d6425f02-b4394f91-1e90b86e.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""Então devemos caminhar até a biblioteca.[sound:oddcast-47e0a2a7-bdbd8d89-172f501c-ce98c9b4-4ad31db7.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Die Wände der Bibliothek bestehen aus Ton und Stein.[sound:oddcast-70c83a6e-2a8b0aff-f44c2494-4334bbcc-6844a982.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""As paredes da biblioteca são de argila e pedra.[sound:oddcast-7e9c58cf-9ebdb0b3-1ecd67bd-7f7d1858-c480f3c3.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Das Dach der Bibliothek besteht aus Keramikfliesen.[sound:oddcast-e71a82be-4efe1baf-307bafd6-b4cd8429-239b8b6c.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""O telhado da biblioteca é de telha de cerâmica.[sound:oddcast-63232d80-ab7bdd34-9296e87b-03fd383a-39c4780b.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
"""Dora und Bootz müssen den Weg zum singenden Fluss wählen.[sound:oddcast-0ab5ec2e-2f145372-05f22ee4-b3d80bf6-b97772f5.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Dora e Bootz devem escolher o caminho para o rio cantante.[sound:oddcast-ad5c1d19-43134ffe-8b36b2e7-d2eb7630-68b464a1.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Dora und Bootz müssen wählen, welcher Weg zum singenden Fluss führt.[sound:oddcast-39e7a69e-56f0954d-08ee47b8-ac54262c-49a1bd73.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Dora e Bootz devem escolher qual caminho leva ao rio cantante.[sound:oddcast-cd4880d9-cf3801e6-7045d257-0c394962-04a3378f.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Hinter Dora und Bootz gibt es zwei Wege.[sound:oddcast-f869784e-3401d1e2-667f1091-ec4700ff-61d2576e.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Atrás de Dora e Bootz tem dois caminhos.[sound:oddcast-e74f405a-3901af0e-21d06606-a43f089c-5b1d0c03.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Der Weg links führt zu einem Fluss.[sound:oddcast-c55ae261-0dda3989-d264ee6e-d9e32f33-1c58051c.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""O caminho do lado esquerdo leva a um rio.&nbsp;[sound:oddcast-b10f0292-59e1a910-6e7498dc-736bb4c5-dfb1e0d0.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Der Weg rechts führt zum singenden Fluss.[sound:oddcast-31443924-76af848a-b0e9490d-de9fed97-a314aacd.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""O caminho da direita leva ao rio cantante.&nbsp;[sound:oddcast-5982317f-8efaed15-983a840e-41f674b8-87f8e930.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Wir sehen einige Felsen in der Nähe einer Palme.[sound:oddcast-4ea1d7cb-8bc030d9-59075140-4983797f-40bef6bc.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Vemos algumas pedras perto de uma palmeira.[sound:oddcast-bdb7a545-97b38b4c-2ea00e7d-70511525-664f1d58.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Dora weist den Weg zum singenden Fluss.[sound:oddcast-b0aad28c-5d3456aa-c80be6a8-fe6944be-66660042.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Dora mostra o caminho para o rio cantante.[sound:oddcast-3dcec78a-a42c1907-fe627f28-d5a6a4f1-3c17b84f.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Dora zeigt zum Weg der zum singenden Fluss geführt.[sound:oddcast-1ca04fbc-14a7066f-4e055ebe-90707cbb-a17a8d9c.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Dora aponta para o caminho que leva ao rio cantante.[sound:oddcast-d2bdca59-b14c3b3e-c3ea6853-b0a9dfd6-1712536e.mp3]<br><br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
"""Dora und Bootz müssen sich darum kümmern, welcher Weg zum singenden Fluss geführt.[sound:oddcast-d21a395f-a65f5c99-6a831d02-59bae7be-bbb5e26c.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""","""Dora e Bootz precisam descobrir qual caminho leva ao rio cantante.[sound:oddcast-839f419e-e6f80da1-2abd77bc-c16c9326-e231f89d.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005c.png"""">""",y,
""" Wissen Sie, wohin wir gehen?[sound:oddcast-8db509ce-8ce3432c-d5d1d291-19ffcbf1-9e418134.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Você sabe para onde estamos indo?[sound:oddcast-9e3a429d-0dfa4ca5-440f452d-7851a512-e186d70b.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Wir gehen in die Bibliothek.[sound:oddcast-c248f265-09b8043a-0b96ab97-068c2a68-3473f1a4.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Estamos indo para a biblioteca.[sound:oddcast-f3037f58-a6255ddb-78d42a1b-e273d339-267c131a.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
