"""O aquecedor está perto do sofá.[sound:oddcast-2e289065-504b06b5-f37599b9-d786f2eb-d3bf6d55.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Die Heizung befindet sich in der Nähe des Sofas.[sound:oddcast-bb2feb26-08d94cc7-1242d598-6a1f41ce-dce16366.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""O aquecedor está entre a cortina e a parede.[sound:oddcast-6dfc85af-c5ac8db6-d396f025-19e330a6-530c86ac.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Die Heizung befindet sich zwischen dem Gardine und der Wand.[sound:oddcast-2c5cee01-714c560d-17ec8ab2-2211647d-df9652ae.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""A cozinha está atrás do sofá do lado esquerdo.[sound:oddcast-9aceebb7-424531ff-f23a38e3-31bccd71-da7a1c66.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Die Küche befindet sich links hinter dem Sofa.[sound:oddcast-21bfa8be-58dcc60e-20cfb2c3-34215842-ddcb19c9.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""O armário de cozinha tem duas portas de vidro.[sound:oddcast-1b1c0654-147a82c5-c7716211-5ba3efa8-eadc1d3d.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Der Küchenschrank hat zwei Glastüren.[sound:oddcast-d0e509d0-57811150-4dd18d2c-92985265-0c996326.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""Vemos pratos e copos dentro do armário de cozinha.[sound:oddcast-dd5c0f90-a5ce9a59-15bf2fad-814d67e7-2c9d562b.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Wir sehen Teller und Gläser im Küchenschrank.[sound:oddcast-0abbea0a-9e69a3df-975dbfd9-06171767-f91b9264.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""Tem duas lâmpadas penduradas no teto.[sound:oddcast-383a029c-aff8664c-c633b383-792aff6d-a4f6e19e.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""An der Decke hängen zwei Lampen.[sound:oddcast-4808323c-f7e3b1cd-fe87b942-16612c01-2fed12b0.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""As lâmpadas estão ligadas.[sound:oddcast-7b4e4aad-599530a6-1005458f-4518352d-29ce6521.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Die Lampen sind an.[sound:oddcast-e9d86848-ff51081d-7340c2ae-2a0dcf57-99225633.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""Debaixo do armário de parede tem papél de parede, ou talvez azulejos.[sound:oddcast-9e0d5a58-20edde3f-d6a59f0c-4d15b49f-5eade80d.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Unter dem Wandschrank befindet sich eine Tapete oder vielleicht Fliesen.[sound:oddcast-9d4551d5-7d89acd8-e8e0bc69-279559ab-5016dce9.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""Vemos tres velas no suporte de velas.[sound:oddcast-c0fe3b95-79e596a0-1bd75554-b9c76b83-e3ad7bf2.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Wir sehen drei Kerzen im Kerzenhalter.[sound:oddcast-680a0d45-ad963812-50ea072a-1faeaf04-35db0eab.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""Vemos a grade do ar condicionado sobre o armário de cozinha.[sound:oddcast-ae5f5019-bda5fa62-031e59d9-33128d18-d09a81c6.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Wir sehen das Klimaanlagengitter über dem Küchenschrank.[sound:oddcast-686697d3-a2fa1f2c-7ee64f45-5c1def44-ab1c0bc7.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""A sala de estar tem uma outra grade do ar condicionado.[sound:oddcast-a3cecd20-58ef9e50-2095edfc-6b562062-a06cc3b9.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Das Wohnzimmer hat einen weiteren Klimaanlagengrill.[sound:oddcast-fb0a6811-959835e0-d2318430-786a4db9-31e5a0d6.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
